ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,DATE
O20020813000008,KS,00-08,PART A PROVIDER - HOSPICE,1144260498,N,171523,3274440268,HOSPITAL DISTRICT NO 1 OF DICKINSON COUNTY KANSAS,HOSPICE OF DICKINSON COUNTY,12/07/1959,KS,OTHER,GOVERNMENTAL,N,1111 N BRADY ST,STE B,ABILENE,KS,674101804,01/2025
O20020813000010,PA,00-08,PART A PROVIDER - HOSPICE,1053393447,N,391518,3476461872,"CENTRE HOMECARE, INC.",CENTRE CROSSINGS HOSPICE,02/01/1965,PA,CORPORATION,,N,2437 COMMERCIAL BLVD,STE 280,STATE COLLEGE,PA,168017454,01/2025
O20020820000009,PA,00-08,PART A PROVIDER - HOSPICE,1548201957,N,391551,4789591710,GENERAL CARE SERVICES INC,HOSPICE OF WARREN COUNTY,03/06/1979,PA,CORPORATION,,N,1 MAIN AVE,,WARREN,PA,163652116,01/2025
O20020823000006,OR,00-08,PART A PROVIDER - HOSPICE,1841221306,N,381546,2365359296,MORROW COUNTY HEALTH DISTRICT,PIONEER MEMORIAL HOSPICE,,OR,OTHER,DISTRICT,N,162 N MAIN ST,,HEPPNER,OR,978365001,01/2025
O20020823000007,MO,00-08,PART A PROVIDER - HOSPICE,1215084876,N,261586,2264349109,SAFE HARBOR HOSPICE LLC,"LEGACY OPERATING COMPANY, LLC",01/07/2000,MO,LLC,,P,101 KINGSBURY BLVD,,FREDERICKTOWN,MO,636457959,01/2025
O20020916000026,CA,00-08,PART A PROVIDER - HOSPICE,1366449951,N,51567,8820905854,SNOWLINE HOSPICE OF EL DORADO COUNTY,,03/13/1980,CA,CORPORATION,,N,6520 PLEASANT VALLEY RD,,DIAMOND SPRINGS,CA,956199512,01/2025
O20020926000017,NE,00-08,PART A PROVIDER - HOSPICE,1265433247,N,281528A,4385551035,ODYSSEY HEALTHCARE OPERATING A LP,GENTIVA I,,,PARTNERSHIP,,P,444 REGENCY PARKWAY DR,STE 200,OMAHA,NE,681143779,01/2025
O20021009000011,MO,00-08,PART A PROVIDER - HOSPICE,1417068461,N,261578,6204743867,"CHRISTIAN HEALTH CARE HOSPICE, INC.",REGIONAL HOSPICE,02/20/2001,MO,CORPORATION,,P,3405 W MOUNT VERNON ST,STE 100,SPRINGFIELD,MO,658025241,01/2025
O20021014000008,PA,00-08,PART A PROVIDER - HOSPICE,1881764736,N,391535,547178147,VISITING NURSE ASSOCIATION OF SAINT LUKES HOME HEALTH/HOSPICE INC.,ST. LUKE'S HOSPICE,11/30/1931,PA,CORPORATION,,N,240 UNION STATION PLZ,,BETHLEHEM,PA,180151281,01/2025
O20021023000019,VA,00-08,PART A PROVIDER - HOSPICE,1629025911,N,491557,143138628,TOTAL HOME HEALTH CARE INC,MEDICAL SERVICES OF AMERICA HOME HEALTH AND HOSPICE,01/10/1996,VA,CORPORATION,,P,1935 FRONT ST,,RICHLANDS,VA,246412350,01/2025
O20021024000008,MA,00-08,PART A PROVIDER - HOSPICE,1366420861,N,221554,1658289137,"VISITING NURSE ASSOCIATION OF CAPE COD, INC.",VISITING NURSE ASSOCIATION OF CAPE COD HOSPICE,01/01/1998,MA,CORPORATION,,N,25 COMMUNICATION WAY,,HYANNIS,MA,26018137,01/2025
O20021028000017,NH,00-08,PART A PROVIDER - HOSPICE,1831163211,N,301512,4880502301,"WENTWORTH HOME CARE AND HOSPICE, LLC","WENTWORTH HOME CARE & HOSPICE, AN AMEDISYS PARTNER",05/29/2002,NH,LLC,,P,9 ANDREWS RD,,SOMERSWORTH,NH,38781042,01/2025
O20021107000034,PA,00-08,PART A PROVIDER - HOSPICE,1437254893,N,391606,4385552785,VISITING NURSE ASSOCIATION OF CENTRAL PA INC,CROSSINGS HOSPICE OF THE VNA,01/01/1995,PA,CORPORATION,,N,3315 DERRY ST,,HARRISBURG,PA,171111811,01/2025
O20021115000022,MO,00-08,PART A PROVIDER - HOSPICE,1497857551,N,261595,1850209214,GOOD SHEPHERD HOSPICE OF MID-AMERICA INC,,04/24/2001,OK,CORPORATION,,P,123 W KANSAS AVE,,INDEPENDENCE,MO,640503732,01/2025
O20021121000041,IA,00-08,PART A PROVIDER - HOSPICE,1609873769,N,161569,1759299050,"HOSPICE OF JACKSON COUNTY,INC",,11/18/2001,IA,CORPORATION,,N,611 W QUARRY ST,,MAQUOKETA,IA,520602125,01/2025
O20021125000018,KS,00-08,PART A PROVIDER - HOSPICE,1619918679,N,171503,4486562709,HOSPICE OF RENO COUNTY INC,HOSPICE AND HOMECARE OF RENO COUNTY,09/15/1981,KS,CORPORATION,,N,2020 N WALDRON ST,STE 100,HUTCHINSON,KS,675021100,01/2025
O20021126000018,PA,00-08,PART A PROVIDER - HOSPICE,1275585218,N,391634,5092623322,"MEDI HOME HEALTH AGENCY, INC.",MEDI HOME HOSPICE,01/16/1996,PA,CORPORATION,,P,201 PENN CENTER BLVD,STE 300,PITTSBURGH,PA,152355407,01/2025
O20021206000017,CA,00-08,PART A PROVIDER - HOSPICE,1669474987,N,51759,9133037310,ROZE ROOM HOSPICE OF THE VALLEY INC,ROZE ROOM HOSPICE OF THE VALLEY,07/25/2002,CA,CORPORATION,,P,18107 SHERMAN WAY,STE 200,RESEDA,CA,913358802,01/2025
O20021209000013,ID,00-08,PART A PROVIDER - HOSPICE,1396891412,N,131541,2062320252,"NINERGK, LLC",ASPEN HOME HEALTH AND HOSPICE,06/05/2002,ID,LLC,,P,3480 WASHINGTON PKWY,,IDAHO FALLS,ID,834047579,01/2025
O20021212000001,MO,00-08,PART A PROVIDER - HOSPICE,1649265166,N,261550,1153239371,THE AMERICAN HEARTLAND HOSPICE CORP.,GENTIVA,10/28/1994,MO,CORPORATION,,P,12125 WOODCREST EXECUTIVE DR,STE 220,SAINT LOUIS,MO,631415010,01/2025
O20021218000012,PA,00-08,PART A PROVIDER - HOSPICE,1295750875,N,391642,4082522149,WAYNE MEMORIAL HOSPITAL,"WAYNE HEALTH SERVICES, INC.",04/09/1907,PA,CORPORATION,,N,116 W 11TH ST,,HONESDALE,PA,184311902,01/2025
O20021218000027,OR,00-08,PART A PROVIDER - HOSPICE,1093717340,N,381503,5092623173,MT. HOOD HOSPICE,,07/12/1980,OR,CORPORATION,,N,39085 PIONEER BLVD,STE 1018,SANDY,OR,970558081,01/2025
O20021226000014,MD,00-08,PART A PROVIDER - HOSPICE,1710064878,N,211511,8729996848,"HOSPICE OF WASHINGTON COUNTY, INC",,06/16/1980,MD,CORPORATION,,N,1710 UNDERPASS WAY,STE 300,HAGERSTOWN,MD,217408158,01/2025
O20021226000020,IA,00-08,PART A PROVIDER - HOSPICE,1063485365,N,161502,2264340389,HOSPICE OF SIOUXLAND,MERCYONE SIOUXLAND MEDICAL CENTER,03/27/1997,IA,CORPORATION,,N,309 COOK ST,,SIOUX CITY,IA,511033707,01/2025
O20021227000009,CO,00-08,PART A PROVIDER - HOSPICE,1326041252,N,61510,8325956451,SANGRE DE CRISTO HOSPICE & PALLIATIVE CARE,SANGRE DE CRISTO COMMUNITY CARE,08/23/1984,CO,CORPORATION,,N,1920 VALLEY DR,,PUEBLO,CO,810081764,01/2025
O20030106000018,MT,00-08,PART A PROVIDER - HOSPICE,1992862718,N,271500,2769390756,PARTNERS IN HOME CARE INC,,08/11/1987,MT,CORPORATION,,N,2673 PALMER ST,STE 201,MISSOULA,MT,598081783,01/2025
O20030108000011,MI,00-08,PART A PROVIDER - HOSPICE,1629011168,N,231521,8628985215,MCLAREN HEALTH MANAGEMENT GROUP,MCLAREN HOSPICE,10/01/1999,MI,CORPORATION,,N,1515 CAL DR,,DAVISON,MI,484239016,01/2025
O20030115000001,MD,00-08,PART A PROVIDER - HOSPICE,1386667277,N,211541,4486562394,CAPITAL HOSPICE,CAPITAL CARING,11/18/1998,VA,CORPORATION,,N,9885 GREENBELT RD,FL 3,LANHAM,MD,207062302,01/2025
O20030115000002,DC,00-08,PART A PROVIDER - HOSPICE,1790706935,N,91501,4486562394,CAPITAL HOSPICE,CAPTIAL CARING,11/18/1998,VA,CORPORATION,,N,5225 WISCONSIN AVE NW,STE 503,WASHINGTON,DC,200152034,01/2025
O20030115000030,CA,00-08,PART A PROVIDER - HOSPICE,1750383071,N,51719,8527976349,L & A CARE CORPORATION,ROZE ROOM HOSPICE,07/14/1997,CA,CORPORATION,,P,5000 OVERLAND AVE,STE 101,CULVER CITY,CA,902304969,01/2025
O20030122000010,CA,00-08,PART A PROVIDER - HOSPICE,1497758593,N,51757,6305754193,"HOSPICE TOUCH, INC.",BRISTOL HOSPICE - ORANGE COUNTY,12/17/2001,CA,CORPORATION,,P,3070 BRISTOL ST,STE 100,COSTA MESA,CA,926267334,01/2025
O20030124000007,CO,00-08,PART A PROVIDER - HOSPICE,1427041227,Y,61527,8921916727,HOPEWEST,VECTRA BANK COLORADO,10/05/1992,CO,OTHER,501 (C) (3),N,2754 COMPASS DR,STE 377,GRAND JUNCTION,CO,815068723,01/2025
O20030129000016,CO,00-08,PART A PROVIDER - HOSPICE,1194732123,N,61515,1658289301,"ARKANSAS VALLEY HOSPICE, INC",ARKANSAS VALLEY HOSPICE,12/23/1985,CO,CORPORATION,,N,531 LEWIS AVE,,LA JUNTA,CO,810501738,01/2025
O20030129000022,CA,00-08,PART A PROVIDER - HOSPICE,1518962083,N,51573,446168199,HOSPICE OF SAN JOAQUIN,,11/13/1980,CA,CORPORATION,,N,3888 PACIFIC AVE,,STOCKTON,CA,952041953,01/2025
O20030130000018,MO,00-08,PART A PROVIDER - HOSPICE,1073548905,N,261506,5991613655,SAINT LUKE'S HEALTH SYSTEM HOME CARE AND HOSPICE,SAINT LUKE'S HOME CARE AND HOSPICE,04/01/1978,MO,CORPORATION,,N,3516 SUMMIT ST,,KANSAS CITY,MO,641112804,01/2025
O20030207000013,WI,00-08,PART A PROVIDER - HOSPICE,1407853112,N,521571,6901715663,"SEASONS HOSPICE & PALLIATIVE CARE OF WISCONSIN, LLC",ACCENTCARE HOSPICE & PALLIATIVE CARE OF WISCONSIN,,,LLC,,P,6737 W WASHINGTON ST,STE 2150,WEST ALLIS,WI,532145649,01/2025
O20030207000041,PA,00-08,PART A PROVIDER - HOSPICE,1629018841,N,391502,3375452048,"CHANDLER HALL HEALTH SERVICES, INC",,04/12/1985,PA,CORPORATION,,N,99 BARCLAY ST,,NEWTOWN,PA,189401593,01/2025
O20030212000007,MO,00-08,PART A PROVIDER - HOSPICE,1427093988,N,261581,1254240849,CROSSROADS HOSPICE OF KANSAS CITY,,04/21/1997,MO,LLC,,P,14310 E 42ND STREET,UNIT 600,INDEPENDENCE,MO,640557308,01/2025
O20030218000013,MT,00-08,PART A PROVIDER - HOSPICE,1538111265,N,271526,9133038706,SHERIDAN MEMORIAL HOSPITAL ASSOCIATION,SHERIDAN MEMORIAL HOSPICE,03/01/1922,MT,CORPORATION,,N,440 W LAUREL AVE,,PLENTYWOOD,MT,592541526,01/2025
O20030224000038,IA,00-08,PART A PROVIDER - HOSPICE,1508948357,N,161527,648189183,MERCY HOME CARE & HOSPICE-CLINTON,MERCYONE CLINTON MEDICAL CENTER,,,CORPORATION,,N,915 13TH AVE N,,CLINTON,IA,527325067,01/2025
O20030304000027,CA,00-08,PART A PROVIDER - HOSPICE,1326045709,N,51762,1850200270,PASSAGE ENTERPRISES INCORPORATED,COMMUNITY CARE HOSPICE,08/15/2002,CA,CORPORATION,,P,222 W FOOTHILL BLVD,,GLENDORA,CA,917413356,01/2025
O20030307000018,WI,00-08,PART A PROVIDER - HOSPICE,1013943893,N,521572,2163331414,GUNDERSEN LUTHERAN MEDICAL CENTER INC,,10/28/1899,WI,CORPORATION,,N,333 FRONT ST N,,LA CROSSE,WI,546013220,01/2025
O20030313000009,LA,00-08,PART A PROVIDER - HOSPICE,1982694295,N,191575,8426967753,"GUARDIAN HOSPICE, INC.",GUARDIAN ANGEL HOSPICE,11/08/2002,LA,CORPORATION,,P,825 LITTLE FARMS AVENUE,SUITE D,METAIRIE,LA,700035913,01/2025
O20030314000021,CO,00-08,PART A PROVIDER - HOSPICE,1306831490,N,61551,1153230495,ARTEMIS HEALTHCARE SERVICES LLC,AGAPE HOSPICE SERVICES,01/08/2003,CO,LLC,,P,6041 S SYRACUSE WAY,STE 220,GREENWOOD VILLAGE,CO,801114716,01/2025
O20030317000015,CT,00-08,PART A PROVIDER - HOSPICE,1548283674,N,071507A,6507775749,"HARTFORD HEALTHCARE AT HOME, INC",HARTFORD HEALTHCARE AT HOME,12/05/1905,CT,CORPORATION,,N,1 NORTHWESTERN DR,STE 101,BLOOMFIELD,CT,60023400,01/2025
O20030317000035,MA,00-08,PART A PROVIDER - HOSPICE,1437139664,N,221521A,4981513603,"VISITING NURSE ASSOCIATION AND HOSPICE OF WESTERN NEW ENGLAND, INC",BAYSTATE HOSPICE,07/28/1914,MA,CORPORATION,,N,30 CAPITAL DR,STE A,WEST SPRINGFIELD,MA,10891359,01/2025
O20030318000019,CO,00-08,PART A PROVIDER - HOSPICE,1477556934,N,61501,7214846468,TRU COMMUNITY CARE,,09/12/1977,CO,CORPORATION,,N,2594 TRAILRIDGE DR E,,LAFAYETTE,CO,800263186,01/2025
O20030324000034,CA,00-08,PART A PROVIDER - HOSPICE,1154320299,N,51763,2163331364,"LIGHTBRIDGE HOSPICE, LLC",LIGHBRIDGE HOSPICE & PALLIATIVE CARE,12/17/2002,CA,LLC,,P,6155 CORNERSTONE CT E,STE 220,SAN DIEGO,CA,921214737,01/2025
O20030325000011,MI,00-08,PART A PROVIDER - HOSPICE,1457459059,N,231586,7416866611,BARAGA COUNTY MEMORIAL HOSPITAL,BARAGA COUNTY HOME CARE & HOSPICE,03/14/1988,MI,OTHER,GOVERNMENTAL HEALTHCARE CORPORATION,N,18341 US HIGHWAY 41,STE 1,LANSE,MI,499468024,01/2025
O20030325000035,KS,00-08,PART A PROVIDER - HOSPICE,1295773273,N,171546,8527977735,"SOUTHERNCARE, INC.",GENTIVA,12/31/2002,DE,CORPORATION,,P,5375 SW 7TH ST,STE 500,TOPEKA,KS,666062553,01/2025
O20030328000004,VA,00-08,PART A PROVIDER - HOSPICE,1770576118,N,491552,3678482700,BEDFORD MEMORIAL HOSPITAL,CENTRA BEDFORD HOSPICE,05/20/2014,VA,LLC,,N,1621 WHITFIELD DRIVE,SUITE C,BEDFORD,VA,245232636,01/2025
O20030402000034,CA,00-08,PART A PROVIDER - HOSPICE,1275536732,N,51778,2062321151,JHA GERIATRIC SERVICES INC,SKIRBALL HOSPICE,01/20/1993,CA,CORPORATION,,N,6345 BALBOA BLVD,STE 315,ENCINO,CA,913161500,01/2025
O20030405000002,WA,00-08,PART A PROVIDER - HOSPICE,1669554275,N,501535,7517876535,HORIZON HEALTH CARE L L C,HORIZON HOSPICE,03/29/1996,WA,LLC,,P,608 E HOLLAND AVE,,SPOKANE,WA,992181255,01/2025
O20030405000003,CA,00-08,PART A PROVIDER - HOSPICE,1992704506,N,51733,2062321086,HOSPICE OF THE NORTH COAST,,12/31/1980,CA,CORPORATION,,N,2525 PIO PICO DR,STE 301,CARLSBAD,CA,920081568,01/2025
O20030409000030,OR,00-08,PART A PROVIDER - HOSPICE,1144221128,N,381547,4385551035,ODYSSEY HEALTHCARE OPERATING A LP,GENTIVA,,,OTHER,LIMITED PARTNERSHIP,P,4500 KRUSE WAY,STE 100,LAKE OSWEGO,OR,970352562,01/2025
O20030418000031,OR,00-08,PART A PROVIDER - HOSPICE,1104936400,N,381515,4880503762,"PARTNERS IN CARE, INC.",,01/01/2009,OR,CORPORATION,,N,2075 NE WYATT CT,BLDG B,BEND,OR,977017686,01/2025
O20030421000003,OK,00-08,PART A PROVIDER - HOSPICE,1922007806,N,371613,5698684587,"COMPANION HOSPICE, LLC",COMPANION HOSPICE,11/05/2002,OK,LLC,,P,1314 EAST OKLAHOMA AVENUE,,GUTHRIE,OK,730443757,01/2025
O20030425000046,MS,00-08,PART A PROVIDER - HOSPICE,1386746105,N,251549,3072422849,"HORIZON HOSPICE, LLC",HOSPICE COMPASSUS - MISSISSIPPI,01/21/2003,DE,LLC,,P,119 D WEST PRESLEY BLVD,,MCCOMB,MS,396485535,01/2025
O20030429000016,OH,00-08,PART A PROVIDER - HOSPICE,1285673111,N,361614,9133039936,CROSSROADS HOSPICE OF CINCINNATI,"CROSSROADS HOSPICE OF CINCINNATI, LLC",,,LLC,,P,4380 GELNDALE MILFORD RD,,CINCINNATI,OH,452423706,01/2025
O20030429000026,PA,00-08,PART A PROVIDER - HOSPICE,1407859978,N,391597,4183534993,"COMPASSIONATE CARE HOSPICE OF GWYNEDD, INC.",AMEDISYS HOSPICE OF GREATER PHILADELPHIA,01/23/1995,PA,CORPORATION,,P,3331 STREET RD,STE 410,BENSALEM,PA,190202023,01/2025
O20030430000023,VA,00-08,PART A PROVIDER - HOSPICE,1568485894,N,491500,4486562394,CAPITAL HOSPICE,CAPITAL CARING HEALTH,11/18/1998,VA,OTHER,NON-PROFIT CORPORATION,N,3180 FAIRVIEW PARK DR,STE 600,FALLS CHURCH,VA,220424516,01/2025
O20030502000025,MN,00-08,PART A PROVIDER - HOSPICE,1811930936,N,241513,4587573613,ALLINA HEALTH SYSTEM,ALLINA HEALTH HOSPICE & PALLIATIVE CARE,09/28/1983,MN,CORPORATION,,N,2925 CHICAGO AVE,,MINNEAPOLIS,MN,554071321,01/2025
O20030505000054,CO,00-08,PART A PROVIDER - HOSPICE,1093705949,N,61538,7911817796,"HOSPICE OF THE PLAINS, INC.","HOSPICE OF THE PLAINS, INC.",06/11/1995,CO,CORPORATION,,N,302 N 9TH AVE,,STERLING,CO,807512812,01/2025
O20030507000031,MT,00-08,PART A PROVIDER - HOSPICE,1023066453,N,271506,8123938974,COMMUNITY HOSPITAL OF ANACONDA,PINTLER HOME OPTIONS - ANACONDA PINTLER HOSPICE,03/13/1969,MT,CORPORATION,,N,118 E 7TH ST,STE 1A,ANACONDA,MT,597112953,01/2025
O20030507000038,CO,00-08,PART A PROVIDER - HOSPICE,1982652350,N,61522,2466362173,"HOSPICE OF MONTEZUMA, INC.",,05/24/1989,CO,CORPORATION,,N,512 N BROADWAY,,CORTEZ,CO,813212002,01/2025
O20030508000026,MA,00-08,PART A PROVIDER - HOSPICE,1558496323,N,221563,941110670,NEW ENGLAND HOSPICE II LLC,NEW ENGLAND HOSPICE,06/20/2002,MA,LLC,,P,190 OLD DERBY ST,STE 304,HINGHAM,MA,20434065,01/2025
O20030509000022,VA,00-08,PART A PROVIDER - HOSPICE,1598760498,N,491530,3870403512,RIVERSIDE MIDDLE PENINSULA HOSPITAL INC,RIVERSIDE WALTER REED HOSPICE,01/12/1982,VA,CORPORATION,,N,7358 MAIN STREET,,GLOUCESTER,VA,230615130,01/2025
O20030509000027,VA,00-08,PART A PROVIDER - HOSPICE,1326045535,N,491509,1557271293,RIVERSIDE HOSPITAL INC,RIVERSIDE HOSPICE CARE,01/12/1982,VA,CORPORATION,,N,856 J CLYDE MORRIS BLVD,STE C,NEWPORT NEWS,VA,236011318,01/2025
O20030509000050,MS,00-08,PART A PROVIDER - HOSPICE,1053350850,Y,251537,8527977735,"SOUTHERNCARE, INC.",GENTIVA,12/31/2002,DE,CORPORATION,,P,925 TOMMY MUNRO DRIVE,SUITES I AND J,BILOXI,MS,395322134,01/2025
O20030512000018,NY,00-08,PART A PROVIDER - HOSPICE,1275609190,N,331561,5294645966,PARKER JEWISH INSTITUTE FOR HEALTH CARE AND REHABILITATION,COMPREHENSIVE COMMUNITY HOSPICE OF PARKER JEWISH INSTITUTE,02/07/1968,NY,CORPORATION,,N,271-11 76TH AVE,,NEW HYDE PARK,NY,110401436,01/2025
O20030515000055,IA,00-08,PART A PROVIDER - HOSPICE,1215976709,N,161537,4880501881,SIOUX VALLEY MEMORIAL HOSPITAL ASSOCIATION,CHEROKEE REGIONAL HOSPICE,,,OTHER,NON-PROFIT,N,212 E BOW DR,,CHEROKEE,IA,510121215,01/2025
O20030515000068,MO,00-08,PART A PROVIDER - HOSPICE,1700950573,N,261541,1557271012,HARRISON COUNTY HEALTH DEPARTMENT & HARRISON COUNTY HOME HEALTH,HARRISON COUNTY HOSPICE,,,OTHER,POLITICAL SUBDIVISION- GOVT BASED,N,1700 BETHANY AVE,,BETHANY,MO,644248363,01/2025
O20030519000000,ND,00-08,PART A PROVIDER - HOSPICE,1386638179,N,351510,2264341031,LUTHERAN CHARITY ASSOCIATION,JAMESTOWN REGIONAL MEDICAL CENTER,05/27/1927,ND,CORPORATION,,N,2422 20TH ST SW,,JAMESTOWN,ND,584016201,01/2025
O20030520000025,LA,00-08,PART A PROVIDER - HOSPICE,1386796944,N,191577,8123938651,"HOPE HOSPICE, LLC",ACG HOSPICE,04/02/2003,LA,LLC,,P,726 PERSHING HWY,,JONESBORO,LA,712512042,01/2025
O20030522000043,IN,00-08,PART A PROVIDER - HOSPICE,1750329132,Y,151572,8527977735,"SOUTHERNCARE, INC.",SOUTHERNCARE INDIANAPOLIS,12/31/2002,DE,CORPORATION,,P,1923 S LIBERTY DR,,BLOOMINGTON,IN,474035146,01/2025
O20030523000035,MN,00-08,PART A PROVIDER - HOSPICE,1245225150,N,241552,1951210855,"LAKEVIEW MEMORIAL HOSPITAL ASSOCIATION, INC.",LAKEVIEW HOSPICE,04/11/1958,MN,CORPORATION,,N,5803 NEAL AVE N,,STILLWATER,MN,550822177,01/2025
O20030528000026,MS,00-08,PART A PROVIDER - HOSPICE,1982622015,Y,251541,8527977735,"SOUTHERNCARE, INC.",GENTIVA,12/30/2002,DE,CORPORATION,,P,278 COMMERCIAL DR,,NEWTON,MS,393459564,01/2025
O20030529000002,LA,00-08,PART A PROVIDER - HOSPICE,1235179060,N,191570,8527977735,"SOUTHERNCARE, INC.",GENTIVA,12/31/2002,DE,CORPORATION,,P,17316 AIRLINE HWY,STE P,PRAIRIEVILLE,LA,707693377,01/2025
O20030530000056,LA,00-08,PART A PROVIDER - HOSPICE,1548293285,N,191553,840109161,HOSPICE CARE OF LOUISIANA LLC,HOSPICE COMPASSUS MONROE,01/21/2003,DE,LLC,,P,2213 JUSTICE STREET,,MONROE,LA,712013619,01/2025
O20030530000060,NC,00-08,PART A PROVIDER - HOSPICE,1891736336,N,341586,7315857687,"COMMUNITY HOSPICE, LLC",GENTIVA,08/30/2002,DE,LLC,,P,1423 S GLENBURNIE RD,# A,NEW BERN,NC,285622603,01/2025
O20030602000006,OK,00-08,PART A PROVIDER - HOSPICE,1598736712,N,371638,1355251638,"PROFESSIONAL HOME HOSPICE OF MUSKOGEE, INC.",ELARA CARING XIV,05/24/2002,OK,CORPORATION,,P,4815 S HARVARD AVE,STE 300A,TULSA,OK,741353055,01/2025
O20030602000024,IA,00-08,PART A PROVIDER - HOSPICE,1932279254,N,161519,9032027495,SIOUX CENTER HEALTH,SIOUX CENTER HEALTH HOME CARE AND HOSPICE,02/27/1948,IA,CORPORATION,,N,1400 7TH AVE SE,,SIOUX CENTER,IA,512501199,01/2025
O20030604000025,MO,00-08,PART A PROVIDER - HOSPICE,1013093145,N,261503,3971413295,KANSAS CITY HOSPICE INC,KANSAS CITY HOSPICE AND PALLIATIVE CARE,08/15/1980,MO,CORPORATION,,N,9001 STATE LINE RD,STE 300,KANSAS CITY,MO,641143212,01/2025
O20030605000024,TX,00-08,PART A PROVIDER - HOSPICE,1891798427,N,451735,4183531049,"COMPASSIONATE CARE HOSPICE OF HOUSTON, LLC",AMEDISYS HOSPICE,06/14/2002,TX,LLC,,P,2040 NORTH LOOP W,STE 320,HOUSTON,TX,770188123,01/2025
O20030606000011,NJ,00-08,PART A PROVIDER - HOSPICE,1629164074,N,311533B,8527978774,"HACKENSACK MERIDIAN AMBULATORY CARE, INC.",HACKENSACK MERIDIAN HOSPICE,04/29/1986,NJ,CORPORATION,,N,1340 CAMPUS PKWY,STE A3,NEPTUNE,NJ,77536830,01/2025
O20030611000030,NY,00-08,PART A PROVIDER - HOSPICE,1508866286,N,331521,143130344,HUDSON VALLEY HOSPICE INC.,HUDSON VALLEY HOSPICE,07/19/1982,NY,CORPORATION,,N,374 VIOLET AVE,,POUGHKEEPSIE,NY,126011034,01/2025
O20030612000005,LA,00-08,PART A PROVIDER - HOSPICE,1093766347,N,191568,143130351,ST. JOSEPH HOSPICE,,07/23/2002,LA,LLC,,P,10615 JEFFERSON HWY,,BATON ROUGE,LA,708097230,01/2025
O20030612000011,LA,00-08,PART A PROVIDER - HOSPICE,1093768749,N,191572,3577473784,"GRACE HOSPICE OF NEW ORLEANS, LLC",ST. JOSEPH HOSPICE,,LA,LLC,,P,108 W MAIN ST,STE C-1,THIBODAUX,LA,70301,01/2025
O20030612000044,OK,00-08,PART A PROVIDER - HOSPICE,1083619969,N,371611,5193635316,"LIFELINE HOSPICE, INC.",,07/03/2002,OK,CORPORATION,,P,1701 W IOWA,,CHICKASHA,OK,730182848,01/2025
O20030613000001,MN,00-08,PART A PROVIDER - HOSPICE,1376682781,N,241557,8426968553,ECUMEN,ECUMEN HOSPICE,11/30/1923,MN,CORPORATION,,N,3530 LEXINGTON AVE N,,SHOREVIEW,MN,55126,01/2025
O20030616000023,GA,00-08,PART A PROVIDER - HOSPICE,1699715045,N,111607,8426968579,CROSSROADS HOSPICE OF ATLANTA LLC,"CROSSROADS HOSPICE OF ATLANTA, LLC",12/02/2002,GA,LLC,,P,1957  LAKESIDE                      PKWY,500,TUCKER,GA,300845859,01/2025
O20030618000034,LA,00-08,PART A PROVIDER - HOSPICE,1508819251,N,191578,7810807906,THE CARPENTER HOSPICE OF NORTHWEST LOUISIANA LLC,,,,LLC,,P,364 N MAIN STREET,,SIBLEY,LA,71073,01/2025
O20030624000040,MI,00-08,PART A PROVIDER - HOSPICE,1831199298,N,231552,8022928068,HOSPICE OF HILLSDALE COUNTY,,08/19/1983,MI,CORPORATION,,N,124S HOWELL ST,,HILLSDALE,MI,492422011,01/2025
O20030627000018,PA,00-08,PART A PROVIDER - HOSPICE,1316995723,N,391604,8628988698,"THI OF PENNSYLVANIA AT SAMARITAN HOSPICE, LLC",HOSPICE COMPASSUS- PHILADELPHIA,05/19/2003,DE,LLC,,P,2 CAMPUS BLVD,STE 200,NEWTOWN SQUARE,PA,190733243,01/2025
O20030701000012,PA,00-08,PART A PROVIDER - HOSPICE,1801850052,N,391621,9032029020,UPMC HOME HEALTHCARE OF WESTERN PA,"VNA OF VENANGO COUNTY, HOSPICE",04/28/1971,PA,CORPORATION,,N,491 ALLEGHENY BLVD,,FRANKLIN,PA,163232975,01/2025
O20030701000063,CA,00-08,PART A PROVIDER - HOSPICE,1588722771,N,51794,3173433075,GRACE HOSPICE INC,,05/25/2003,CA,CORPORATION,,P,1711W TEMPLE ST 3614,,LOS ANGELES,CA,900265421,01/2025
O20030703000006,NJ,00-08,PART A PROVIDER - HOSPICE,1497756993,N,311545,3779490511,"ODYSSEY HEALTHCARE OPERATING B, LP",GENTIVA,,,OTHER,LIMITED PARTNERSHIP,P,242 OLD NEW BRUNSWICK RD,STE 140,PISCATAWAY,NJ,88543999,01/2025
O20030703000007,MI,00-08,PART A PROVIDER - HOSPICE,1164423703,N,231564,3779490511,"ODYSSEY HEALTHCARE OPERATING B, LP",GENTIVA I,01/22/2001,DE,OTHER,LIMITED PARTNERSHIP,P,25925 TELEGRAPH RD,STE 102,SOUTHFIELD,MI,480332527,01/2025
